                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4028,                 1.7349,                 1.4663,                0.26486,                0.41186,                0.27449,                0.13939,                 1.7508,                 3.6461,                 2.1154,               0.067351,             0.00032979,             0.00032979
                      1,                 1.4902,                 1.6701,                 1.5519,                0.38084,                0.50048,                0.39104,                0.20019,                 1.6861,                 2.6241,                  1.919,               0.034344,             0.00065656,             0.00065656
                      2,                 1.4758,                 1.6642,                 1.5538,                0.40206,                0.39706,                0.30494,                0.16405,                  1.614,                 3.1976,                 1.9167,              0.0013313,             0.00097672,             0.00097672
                      3,                 1.4974,                 1.6736,                 1.5923,                 0.4952,                0.49308,                0.46289,                0.24636,                 1.6058,                 2.1343,                  1.835,              0.0009703,              0.0009703,              0.0009703
                      4,                 1.4827,                 1.6462,                 1.5696,                0.48931,                 0.4347,                0.39244,                0.20643,                 1.6282,                 2.1489,                 1.8246,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.4666,                 1.5864,                 1.5616,                 0.5355,                0.59491,                0.56594,                0.32332,                 1.4891,                  1.754,                  1.695,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.3985,                 1.4491,                 1.5014,                 0.6519,                0.57815,                0.61801,                0.35691,                 1.4304,                 1.6596,                 1.5845,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.3885,                 1.4254,                 1.5041,                0.70844,                0.58588,                 0.6468,                0.36658,                 1.4601,                 1.5267,                 1.6171,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.3642,                 1.3652,                 1.4813,                 0.6416,                0.63782,                0.64521,                0.38291,                 1.3715,                 1.4791,                 1.5741,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.3652,                 1.3566,                 1.4863,                0.66168,                0.61503,                0.64626,                0.39184,                 1.3639,                 1.4745,                 1.5817,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.3536,                 1.3378,                 1.4749,                0.63894,                0.64238,                0.66168,                 0.4078,                 1.3781,                 1.4228,                 1.5808,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.3164,                 1.2889,                 1.4478,                0.70784,                0.68578,                0.71162,                0.43831,                 1.3488,                 1.3622,                 1.5704,               0.000901,               0.000901,               0.000901
                     12,                 1.3181,                 1.2806,                  1.461,                0.67413,                 0.6802,                0.68112,                0.42607,                 1.3569,                  1.348,                 1.5629,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.2755,                 1.2415,                 1.4436,                0.73149,                0.67899,                0.70357,                0.42581,                 1.3292,                  1.267,                 1.5397,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.2744,                 1.1856,                 1.4093,                0.75293,                0.63029,                0.70977,                0.44891,                 1.3246,                 1.3239,                 1.5464,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.2818,                 1.1992,                 1.4215,                0.69478,                0.66245,                  0.717,                0.45785,                 1.2805,                 1.2788,                 1.5381,              0.0008614,              0.0008614,              0.0008614
