                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3503,                 1.9033,                 1.3995,                0.62429,                0.48304,                0.52576,                 0.2886,                 1.4379,                 1.9754,                 1.4549,               0.067351,             0.00032979,             0.00032979
                      1,                 1.3602,                  1.467,                  1.431,                0.65355,                0.60723,                0.64306,                0.36733,                  1.423,                  1.471,                 1.4298,               0.034344,             0.00065656,             0.00065656
                      2,                 1.3586,                 1.4045,                 1.4431,                0.55306,                0.55845,                0.54912,                0.30301,                 1.4922,                 1.7896,                 1.5147,              0.0013313,             0.00097672,             0.00097672
                      3,                 1.3679,                 1.4234,                 1.4508,                0.54042,                 0.5022,                0.48195,                0.28174,                  1.459,                 1.9677,                 1.5172,              0.0009703,              0.0009703,              0.0009703
                      4,                 1.3234,                 1.3322,                 1.4058,                0.68367,                0.59874,                0.63367,                 0.3908,                 1.3964,                 1.5388,                 1.4112,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2991,                 1.2981,                 1.3938,                0.67395,                0.69098,                0.70025,                0.44375,                  1.317,                 1.3199,                 1.3661,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.2563,                 1.2395,                 1.3638,                0.76382,                 0.6899,                0.74638,                 0.4832,                 1.2605,                 1.1701,                 1.3229,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.2579,                 1.1954,                 1.3621,                0.74196,                0.68153,                0.73365,                0.46802,                 1.2497,                 1.2108,                 1.3223,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.2348,                 1.1614,                 1.3419,                0.67256,                0.65126,                 0.6697,                0.41254,                 1.3508,                  1.319,                 1.3886,              0.0009307,              0.0009307,              0.0009307
                      9,                  1.202,                 1.1101,                  1.336,                0.75677,                0.70225,                0.73502,                 0.4856,                 1.2352,                 1.1742,                 1.2883,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1731,                 1.0762,                 1.3168,                0.78514,                0.71675,                0.76281,                0.50663,                 1.2126,                  1.039,                 1.2916,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1669,                 1.0478,                 1.3075,                0.73033,                0.72615,                0.74158,                0.48809,                 1.2285,                 1.1735,                 1.2798,               0.000901,               0.000901,               0.000901
                     12,                 1.1384,                 1.0203,                 1.3025,                0.73652,                0.74245,                0.77687,                0.52727,                 1.2194,                 1.0442,                 1.3022,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1419,                0.98211,                 1.2997,                0.78486,                0.72933,                0.77029,                0.51028,                 1.2434,                 1.0421,                 1.3128,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1276,                0.97185,                 1.2881,                 0.7905,                0.72854,                0.79465,                0.52268,                 1.2287,                  1.014,                 1.2963,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.0977,                0.97233,                 1.2764,                0.76768,                 0.7063,                0.75873,                0.51289,                 1.2053,                 1.1639,                 1.2744,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0934,                0.94514,                 1.2652,                0.78525,                0.73142,                 0.7704,                0.52484,                 1.1573,                0.97893,                 1.2784,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.0889,                0.93925,                 1.2632,                0.82285,                0.70702,                0.79138,                0.54043,                 1.1578,                 1.0214,                 1.2631,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.0707,                0.90082,                  1.255,                0.78465,                0.78163,                0.81403,                0.54389,                 1.2031,                0.98979,                 1.3055,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.0566,                0.89069,                 1.2484,                0.76663,                0.72287,                0.75246,                0.50672,                 1.2147,                 1.0646,                 1.2842,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.0415,                0.86587,                 1.2315,                 0.8093,                0.74416,                0.79967,                0.51271,                 1.2383,                0.95488,                 1.3042,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.0351,                0.85566,                 1.2296,                0.82696,                0.72095,                0.79383,                0.53715,                 1.2037,                0.99377,                 1.2843,               0.000802,               0.000802,               0.000802
                     22,                 1.0313,                0.84694,                 1.2251,                0.75908,                0.72344,                 0.7711,                0.51194,                  1.162,                 1.0135,                 1.2756,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.0064,                0.82572,                 1.2126,                0.79471,                0.73991,                0.78749,                0.53547,                 1.1634,                0.96138,                 1.2684,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.0089,                0.81192,                  1.211,                0.81136,                0.75105,                0.80769,                0.55845,                 1.1526,                0.90744,                  1.282,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.0026,                0.81903,                 1.2053,                0.78717,                0.80634,                0.82313,                0.55492,                  1.189,                0.93307,                 1.2701,              0.0007624,              0.0007624,              0.0007624
                     26,                0.99189,                0.79399,                 1.2006,                0.81277,                0.73579,                0.80305,                0.55113,                 1.1368,                 0.9522,                 1.2553,              0.0007525,              0.0007525,              0.0007525
                     27,                0.97407,                0.79637,                 1.1895,                0.81211,                0.75604,                0.80764,                0.54107,                 1.1877,                 0.9188,                 1.2695,              0.0007426,              0.0007426,              0.0007426
                     28,                  0.963,                 0.7635,                 1.1844,                0.78804,                0.75514,                0.79622,                0.55497,                 1.1544,                0.96697,                  1.253,              0.0007327,              0.0007327,              0.0007327
                     29,                0.97285,                0.77993,                    1.2,                0.79133,                0.77452,                 0.7917,                0.54881,                 1.1441,                0.95585,                 1.2562,              0.0007228,              0.0007228,              0.0007228
                     30,                0.95327,                0.74022,                 1.1836,                0.78059,                0.76011,                0.80236,                0.55888,                 1.1525,                0.90201,                  1.256,              0.0007129,              0.0007129,              0.0007129
                     31,                0.95477,                0.74417,                 1.1773,                0.83656,                0.75955,                0.82343,                0.56725,                 1.1362,                0.89564,                 1.2583,               0.000703,               0.000703,               0.000703
                     32,                0.94149,                0.74553,                 1.1745,                0.73888,                0.75894,                0.76482,                0.53294,                 1.1727,                 1.0722,                 1.2786,              0.0006931,              0.0006931,              0.0006931
                     33,                0.94473,                0.74085,                 1.1801,                0.75854,                0.77276,                0.78493,                0.54414,                 1.1385,                0.91893,                 1.2498,              0.0006832,              0.0006832,              0.0006832
                     34,                0.93001,                0.73101,                 1.1706,                0.84492,                0.79812,                0.82822,                0.56894,                 1.1702,                0.88235,                 1.2928,              0.0006733,              0.0006733,              0.0006733
                     35,                0.92358,                0.71374,                  1.166,                0.79702,                0.76896,                0.79754,                0.55052,                 1.1608,                0.94227,                 1.2777,              0.0006634,              0.0006634,              0.0006634
                     36,                0.90643,                 0.7041,                 1.1557,                0.81384,                0.74499,                0.79647,                0.56592,                 1.1477,                0.89957,                 1.2617,              0.0006535,              0.0006535,              0.0006535
                     37,                0.90164,                0.70894,                 1.1534,                0.80803,                0.76029,                0.80159,                0.56306,                 1.1227,                0.95163,                 1.2486,              0.0006436,              0.0006436,              0.0006436
                     38,                 0.8876,                0.69126,                 1.1447,                0.79988,                0.72443,                0.78272,                0.54205,                 1.1368,                0.95687,                 1.2646,              0.0006337,              0.0006337,              0.0006337
                     39,                0.89582,                0.69482,                 1.1445,                0.77063,                0.76979,                0.79347,                0.55501,                 1.0873,                0.91625,                 1.2317,              0.0006238,              0.0006238,              0.0006238
                     40,                0.88916,                0.68537,                 1.1427,                0.73984,                0.77422,                0.78185,                0.54484,                 1.1654,                0.97011,                 1.2662,              0.0006139,              0.0006139,              0.0006139
                     41,                0.88303,                0.67539,                 1.1391,                0.81358,                0.80064,                 0.8095,                0.56457,                 1.1097,                0.92262,                 1.2447,               0.000604,               0.000604,               0.000604
                     42,                0.88072,                0.67174,                 1.1386,                0.77965,                0.79822,                0.81394,                0.56739,                 1.1139,                0.90977,                  1.236,              0.0005941,              0.0005941,              0.0005941
                     43,                0.86767,                0.66748,                 1.1369,                0.82076,                0.72504,                0.77949,                0.54378,                 1.1583,                0.97162,                 1.2653,              0.0005842,              0.0005842,              0.0005842
                     44,                0.87336,                0.66292,                 1.1426,                0.81605,                0.76514,                0.81091,                0.56949,                 1.1262,                0.91053,                 1.2622,              0.0005743,              0.0005743,              0.0005743
                     45,                  0.848,                0.64253,                 1.1169,                0.84239,                0.77238,                0.82023,                0.58044,                 1.1517,                 0.8752,                  1.299,              0.0005644,              0.0005644,              0.0005644
                     46,                0.85681,                0.64951,                 1.1282,                0.83394,                0.74673,                0.79709,                0.56097,                  1.106,                0.94576,                 1.2429,              0.0005545,              0.0005545,              0.0005545
                     47,                0.83445,                0.62096,                 1.1119,                0.81573,                0.77285,                0.82593,                0.57686,                 1.1159,                0.92055,                 1.2678,              0.0005446,              0.0005446,              0.0005446
                     48,                0.85015,                0.62322,                 1.1134,                  0.844,                0.75218,                 0.8078,                0.57872,                 1.1295,                0.93164,                 1.2547,              0.0005347,              0.0005347,              0.0005347
                     49,                0.83963,                0.62625,                 1.1159,                0.77218,                 0.7975,                0.80353,                0.56648,                 1.1152,                0.90839,                 1.2502,              0.0005248,              0.0005248,              0.0005248
                     50,                0.82392,                0.60671,                  1.108,                0.82494,                0.76891,                0.80967,                0.56206,                 1.1592,                0.94393,                 1.2904,              0.0005149,              0.0005149,              0.0005149
                     51,                0.81887,                0.60856,                 1.1064,                0.80409,                0.77453,                0.81132,                0.56851,                 1.1357,                0.93059,                 1.2636,               0.000505,               0.000505,               0.000505
                     52,                0.81396,                0.59837,                  1.109,                0.82879,                0.78325,                0.81943,                0.57767,                 1.1211,                0.90267,                 1.2503,              0.0004951,              0.0004951,              0.0004951
                     53,                 0.8097,                0.59787,                 1.1015,                0.83863,                0.77088,                0.80886,                0.57533,                 1.1415,                0.87672,                 1.2718,              0.0004852,              0.0004852,              0.0004852
                     54,                 0.7991,                0.58577,                 1.0939,                 0.8215,                0.76333,                0.79167,                0.57239,                 1.1241,                 0.8885,                 1.2603,              0.0004753,              0.0004753,              0.0004753
                     55,                0.80986,                0.59116,                  1.094,                0.84577,                0.75119,                0.82084,                0.58817,                 1.1047,                0.86157,                 1.2288,              0.0004654,              0.0004654,              0.0004654
                     56,                0.80108,                0.58511,                 1.0917,                0.81935,                0.77197,                0.81881,                0.57796,                 1.1293,                0.91286,                  1.261,              0.0004555,              0.0004555,              0.0004555
                     57,                0.79032,                0.57559,                 1.0831,                 0.8349,                0.75895,                0.82978,                0.59496,                 1.1142,                0.85192,                 1.2452,              0.0004456,              0.0004456,              0.0004456
                     58,                0.78733,                0.57785,                 1.0843,                0.83207,                0.78253,                0.83541,                0.60251,                 1.0767,                0.84667,                 1.2314,              0.0004357,              0.0004357,              0.0004357
                     59,                 0.7846,                0.57559,                 1.0885,                0.82415,                0.78119,                0.82208,                0.58784,                 1.1258,                0.88633,                 1.2754,              0.0004258,              0.0004258,              0.0004258
                     60,                 0.7803,                0.57653,                 1.0888,                0.84591,                 0.7713,                0.81373,                0.59002,                  1.096,                0.90757,                 1.2518,              0.0004159,              0.0004159,              0.0004159
                     61,                0.76631,                0.55687,                 1.0791,                0.85461,                0.76945,                0.82432,                0.59088,                 1.0897,                0.86053,                 1.2531,               0.000406,               0.000406,               0.000406
                     62,                0.75512,                0.54737,                 1.0779,                0.79729,                0.78331,                0.82124,                0.59357,                 1.1039,                0.93031,                 1.2526,              0.0003961,              0.0003961,              0.0003961
                     63,                0.75642,                0.54811,                 1.0794,                0.79981,                0.79191,                0.82448,                0.59609,                 1.1196,                0.85277,                  1.273,              0.0003862,              0.0003862,              0.0003862
                     64,                0.75428,                0.54567,                 1.0761,                0.79091,                0.79186,                0.80828,                0.57727,                 1.1117,                0.91705,                 1.2671,              0.0003763,              0.0003763,              0.0003763
                     65,                0.74825,                 0.5322,                 1.0702,                0.87421,                0.72616,                0.81171,                0.58363,                 1.1375,                0.95192,                 1.2749,              0.0003664,              0.0003664,              0.0003664
                     66,                0.73559,                0.53032,                 1.0656,                0.85623,                0.77075,                0.83771,                0.60629,                 1.0899,                 0.8984,                 1.2501,              0.0003565,              0.0003565,              0.0003565
                     67,                0.74437,                 0.5341,                 1.0679,                0.82151,                0.78268,                0.82237,                0.58977,                 1.1015,                0.93622,                 1.2749,              0.0003466,              0.0003466,              0.0003466
                     68,                 0.7319,                0.51476,                 1.0574,                0.84449,                0.75781,                0.81767,                 0.5953,                 1.1023,                0.93801,                 1.2769,              0.0003367,              0.0003367,              0.0003367
                     69,                 0.7293,                0.52516,                 1.0636,                0.84803,                0.77185,                0.82535,                0.59633,                 1.1014,                0.87243,                 1.2764,              0.0003268,              0.0003268,              0.0003268
                     70,                0.71124,                0.50902,                 1.0555,                0.81824,                0.77677,                0.82529,                 0.5929,                 1.1195,                0.91437,                 1.2972,              0.0003169,              0.0003169,              0.0003169
                     71,                0.70752,                0.50365,                 1.0512,                0.85271,                0.75449,                0.81905,                0.58709,                 1.1123,                0.91707,                  1.267,               0.000307,               0.000307,               0.000307
                     72,                0.71329,                0.51065,                 1.0473,                0.84053,                0.77556,                0.83394,                 0.6026,                 1.0935,                0.84286,                 1.2477,              0.0002971,              0.0002971,              0.0002971
                     73,                0.70733,                0.48748,                 1.0484,                0.85347,                0.76676,                0.81243,                0.59045,                  1.084,                 0.9059,                 1.2385,              0.0002872,              0.0002872,              0.0002872
                     74,                 0.6969,                0.49619,                 1.0483,                0.82721,                0.77475,                0.80823,                0.57835,                 1.1191,                0.91926,                 1.2729,              0.0002773,              0.0002773,              0.0002773
                     75,                 0.6938,                0.49222,                 1.0418,                0.81103,                0.79149,                0.83516,                0.61034,                  1.089,                0.89994,                 1.2273,              0.0002674,              0.0002674,              0.0002674
                     76,                0.69305,                0.48079,                  1.042,                0.83665,                0.76415,                 0.8212,                0.59571,                 1.1117,                0.92325,                 1.2597,              0.0002575,              0.0002575,              0.0002575
                     77,                0.67772,                0.46665,                 1.0336,                0.83282,                0.78008,                0.82169,                0.59698,                  1.112,                0.92742,                 1.2572,              0.0002476,              0.0002476,              0.0002476
                     78,                0.68601,                0.49287,                 1.0482,                0.86671,                0.75798,                0.82116,                0.59312,                 1.1132,                0.93026,                 1.2676,              0.0002377,              0.0002377,              0.0002377
                     79,                0.67318,                0.47009,                 1.0326,                 0.8517,                0.77498,                 0.8285,                0.60116,                  1.103,                0.88401,                 1.2716,              0.0002278,              0.0002278,              0.0002278
                     80,                0.67438,                0.47274,                 1.0426,                0.84898,                0.75911,                 0.8326,                0.59554,                 1.1204,                0.89898,                 1.2979,              0.0002179,              0.0002179,              0.0002179
                     81,                0.65862,                0.45892,                  1.023,                0.82214,                0.77827,                0.83536,                0.60235,                 1.1121,                0.88669,                 1.2622,               0.000208,               0.000208,               0.000208
                     82,                0.64985,                 0.4519,                 1.0248,                0.85119,                0.76449,                0.82903,                  0.604,                 1.1192,                0.87518,                 1.2829,              0.0001981,              0.0001981,              0.0001981
                     83,                0.65484,                0.44868,                 1.0227,                0.81758,                0.78853,                0.83106,                0.60737,                 1.1077,                0.89405,                 1.2781,              0.0001882,              0.0001882,              0.0001882
                     84,                0.64502,                0.44308,                 1.0154,                0.83075,                0.79323,                 0.8386,                 0.6039,                 1.1124,                0.91428,                 1.2627,              0.0001783,              0.0001783,              0.0001783
                     85,                0.64518,                0.44165,                 1.0167,                0.83905,                0.77662,                0.82851,                0.59812,                 1.1026,                0.92464,                 1.2549,              0.0001684,              0.0001684,              0.0001684
                     86,                0.63212,                0.43292,                 1.0067,                0.84108,                0.77052,                0.82722,                0.59986,                 1.1216,                0.89847,                 1.2834,              0.0001585,              0.0001585,              0.0001585
                     87,                0.62829,                0.43168,                 1.0103,                0.79756,                0.78595,                0.82052,                0.60405,                 1.1175,                0.95618,                 1.2782,              0.0001486,              0.0001486,              0.0001486
                     88,                 0.6278,                0.42644,                 1.0093,                0.82748,                0.79357,                0.83753,                0.60594,                 1.1043,                0.89348,                 1.2583,              0.0001387,              0.0001387,              0.0001387
                     89,                 0.6133,                0.41567,                 1.0031,                0.84283,                0.78459,                0.82986,                0.60391,                 1.1121,                0.91648,                 1.2708,              0.0001288,              0.0001288,              0.0001288
                     90,                0.52388,                0.31604,                 0.9222,                0.83646,                0.75464,                0.81167,                0.59427,                 1.1068,                0.91518,                 1.2779,              0.0001189,              0.0001189,              0.0001189
                     91,                0.50399,                0.29045,                0.91398,                0.85833,                0.77239,                 0.8254,                0.60084,                 1.1019,                0.84842,                 1.2732,               0.000109,               0.000109,               0.000109
                     92,                0.49437,                 0.2908,                0.91156,                0.83562,                0.78487,                0.83208,                 0.6103,                 1.0854,                0.87277,                 1.2561,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.48489,                 0.2803,                0.91015,                0.84522,                0.75717,                  0.827,                 0.6081,                 1.0887,                 0.8617,                 1.2582,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.48602,                0.27837,                0.90821,                0.85293,                0.74828,                0.82308,                0.60849,                 1.0857,                0.89653,                 1.2628,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.47791,                0.27073,                0.91057,                0.81603,                0.79636,                0.83381,                0.61032,                 1.0932,                0.88243,                 1.2707,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.45591,                 0.2681,                0.89738,                0.84248,                 0.7732,                0.82851,                 0.6129,                 1.0931,                 0.9151,                 1.2713,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 0.4596,                0.27108,                0.90179,                0.85104,                0.75595,                0.82644,                0.60996,                 1.1016,                0.90935,                 1.2821,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.44742,                0.29021,                0.89614,                0.88746,                0.73849,                0.83119,                0.61646,                 1.0938,                0.90614,                 1.2853,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.44125,                0.25538,                0.89636,                0.87817,                0.75736,                0.83791,                0.61724,                  1.101,                0.89467,                 1.2862,               2.98e-05,               2.98e-05,               2.98e-05
