                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3477,                 2.1803,                 1.5434,                0.74107,                0.57046,                0.65815,                0.39283,                 1.3671,                 1.4116,                 1.5116,                0.07016,              0.0033155,              0.0033155
                      1,                 1.2269,                 1.1761,                 1.3945,                0.77592,                0.72339,                0.78054,                0.52254,                 1.1676,                0.97656,                 1.3833,               0.040128,              0.0066159,              0.0066159
                      2,                 1.2617,                 1.2145,                 1.4287,                0.62298,                 0.5285,                0.56977,                0.31038,                 1.6177,                 1.6596,                 1.8742,               0.010062,              0.0098834,              0.0098834
                      3,                 1.3379,                   1.39,                 1.4931,                0.55179,                0.62076,                0.58989,                0.36559,                  1.433,                 1.7039,                 1.6372,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.3484,                 1.3898,                 1.5083,                0.67549,                0.65816,                0.70608,                0.42933,                 1.4127,                 1.3196,                 1.6038,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3262,                 1.3188,                 1.4902,                0.76758,                0.59592,                0.68194,                0.37276,                 1.5961,                 1.3805,                 1.7503,               0.009802,               0.009802,               0.009802
                      6,                 1.2846,                 1.2348,                 1.4622,                0.70212,                 0.6754,                0.71341,                0.42871,                 1.3858,                 1.2662,                 1.5766,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2619,                 1.1926,                 1.4369,                0.69921,                0.73565,                0.72472,                0.43936,                  1.438,                  1.172,                  1.625,               0.009703,               0.009703,               0.009703
                      8,                 1.2512,                 1.1736,                 1.4339,                0.70682,                0.71351,                0.71425,                0.45381,                 1.3109,                 1.1828,                 1.5165,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.2259,                 1.1272,                 1.4207,                0.72338,                0.69332,                0.74241,                0.47564,                 1.2758,                 1.1354,                 1.4907,               0.009604,               0.009604,               0.009604
                     10,                 1.1997,                 1.0921,                 1.3923,                0.75612,                 0.6862,                0.74543,                0.44241,                 1.4288,                 1.1805,                 1.6232,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1869,                 1.0777,                 1.3901,                0.75643,                0.67878,                0.75603,                0.50547,                 1.2257,                 1.1059,                 1.4687,               0.009505,               0.009505,               0.009505
                     12,                 1.1686,                 1.0446,                 1.3735,                0.77224,                0.70525,                0.76592,                0.50215,                 1.2281,                 1.0787,                  1.473,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1389,                0.99672,                 1.3563,                0.78865,                0.73979,                0.79322,                0.47954,                 1.3312,                      1,                 1.5401,               0.009406,               0.009406,               0.009406
                     14,                 1.1304,                0.98379,                 1.3452,                0.76335,                 0.7281,                0.76748,                0.49725,                 1.2644,                 1.0192,                  1.509,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.1402,                0.98716,                 1.3532,                0.75425,                0.74348,                0.76453,                0.51069,                 1.2143,                 1.0784,                 1.4587,               0.009307,               0.009307,               0.009307
                     16,                 1.1094,                0.96424,                 1.3401,                0.72953,                0.71539,                 0.7362,                0.47155,                 1.2204,                 1.0731,                 1.4758,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1088,                 0.9367,                 1.3244,                0.82197,                0.76232,                0.80549,                0.51258,                 1.2838,                0.94851,                 1.4931,               0.009208,               0.009208,               0.009208
                     18,                 1.0964,                0.91776,                 1.3208,                0.79267,                0.72691,                0.78055,                0.51214,                 1.1971,                0.98256,                 1.4347,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0775,                0.89869,                  1.316,                0.78907,                0.76649,                 0.7953,                0.53757,                 1.1618,                0.96691,                 1.4379,               0.009109,               0.009109,               0.009109
                     20,                 1.0801,                0.91182,                 1.3204,                0.78194,                0.72635,                0.77874,                0.52924,                 1.1856,                0.96627,                 1.4286,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0691,                0.85928,                 1.2974,                0.80981,                0.76255,                 0.8028,                 0.5297,                  1.204,                0.95806,                 1.4457,                0.00901,                0.00901,                0.00901
                     22,                 1.0425,                0.85077,                 1.2793,                0.81673,                0.75351,                0.81675,                0.54543,                 1.1399,                0.92083,                 1.4079,              0.0089605,              0.0089605,              0.0089605
                     23,                  1.029,                0.84901,                 1.2814,                0.85953,                0.73391,                0.81265,                0.55635,                 1.1527,                0.88288,                 1.4163,               0.008911,               0.008911,               0.008911
                     24,                 1.0218,                0.83658,                 1.2775,                 0.8112,                0.74463,                0.80884,                0.54734,                 1.1793,                0.97388,                 1.4404,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0182,                0.81169,                 1.2625,                0.79181,                0.75679,                0.80013,                0.54458,                 1.1464,                  0.926,                 1.4157,               0.008812,               0.008812,               0.008812
                     26,                 1.0072,                0.80875,                 1.2621,                0.81942,                0.73716,                0.79409,                0.53869,                 1.1791,                 0.8991,                 1.4433,              0.0087625,              0.0087625,              0.0087625
                     27,                 0.9952,                0.79121,                 1.2533,                0.79391,                0.78188,                0.79429,                0.53519,                 1.1766,                0.93253,                 1.4229,               0.008713,               0.008713,               0.008713
                     28,                0.98082,                0.77562,                 1.2446,                0.82085,                0.72268,                0.77382,                0.52644,                 1.1869,                0.96914,                 1.4649,              0.0086635,              0.0086635,              0.0086635
                     29,                0.97972,                0.78505,                 1.2512,                 0.8135,                0.75925,                0.80127,                0.54959,                   1.15,                 0.9353,                 1.4105,               0.008614,               0.008614,               0.008614
                     30,                 0.9739,                0.75632,                 1.2368,                0.80027,                0.77483,                0.80283,                0.54792,                 1.1541,                0.87846,                 1.4369,              0.0085645,              0.0085645,              0.0085645
                     31,                0.96691,                0.74623,                 1.2304,                0.83913,                0.74745,                0.79414,                0.53109,                 1.1935,                0.94542,                 1.4521,               0.008515,               0.008515,               0.008515
                     32,                0.95432,                0.75257,                 1.2268,                0.82295,                0.71717,                 0.7761,                0.52726,                 1.1682,                0.97576,                 1.4354,              0.0084655,              0.0084655,              0.0084655
                     33,                0.95178,                0.73463,                 1.2264,                0.83058,                0.77027,                0.81242,                0.57304,                 1.1214,                 0.9261,                 1.3798,               0.008416,               0.008416,               0.008416
                     34,                0.93489,                0.72537,                 1.2139,                0.83242,                0.73999,                0.80156,                 0.5508,                 1.1469,                0.94402,                 1.4037,              0.0083665,              0.0083665,              0.0083665
                     35,                0.93635,                0.71179,                 1.2113,                0.79089,                 0.7889,                0.79309,                  0.525,                 1.2304,                 0.8741,                 1.4947,               0.008317,               0.008317,               0.008317
