                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2257,                 2.4427,                 1.3827,                0.73177,                0.65732,                0.73367,                0.53432,                0.96192,                 1.1725,                 1.1374,               0.070476,              0.0032804,              0.0032804
                      1,                 1.0648,                 1.2001,                 1.2281,                0.73784,                0.70518,                0.72619,                0.51541,                 1.0427,                 1.1095,                 1.1738,               0.040443,               0.006581,               0.006581
                      2,                 1.0981,                 1.1643,                 1.2331,                0.74072,                0.70031,                0.75659,                0.53122,                 1.0814,                 1.0799,                 1.1847,               0.010378,              0.0098486,              0.0098486
                      3,                 1.1546,                 1.2188,                 1.2841,                0.66042,                0.65903,                0.68853,                0.44812,                 1.2052,                 1.2896,                 1.2876,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.1823,                 1.2916,                 1.2738,                0.61677,                0.51407,                0.56329,                0.35941,                 1.2824,                 1.5218,                 1.3878,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2687,                 1.3921,                 1.3253,                0.66765,                0.64564,                0.67838,                0.44322,                 1.2161,                 1.2937,                 1.3007,               0.009802,               0.009802,               0.009802
                      6,                 1.1999,                 1.2267,                 1.2907,                0.65146,                0.71154,                0.69374,                0.46084,                 1.1825,                 1.1875,                 1.2561,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2074,                 1.2193,                 1.3126,                0.66528,                0.63439,                0.66448,                0.44393,                 1.1988,                 1.2916,                 1.3056,               0.009703,               0.009703,               0.009703
                      8,                 1.2057,                 1.2199,                 1.2913,                0.72118,                0.67268,                0.71234,                0.48057,                 1.2135,                  1.245,                 1.2815,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1632,                 1.1704,                 1.2783,                0.76589,                0.64815,                0.71744,                0.48081,                 1.1815,                 1.1814,                 1.2772,               0.009604,               0.009604,               0.009604
                     10,                  1.168,                 1.1565,                 1.2768,                0.70135,                0.66584,                0.70408,                0.47177,                 1.2137,                 1.1471,                 1.3026,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1679,                 1.1409,                 1.2812,                0.68736,                0.69866,                0.73091,                0.49802,                 1.1636,                 1.1042,                 1.2604,               0.009505,               0.009505,               0.009505
                     12,                 1.1833,                 1.1709,                 1.2906,                0.70238,                0.61732,                0.67657,                0.44764,                 1.1862,                 1.2079,                 1.3065,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1562,                 1.1112,                 1.2714,                0.74688,                0.67116,                0.73477,                0.48038,                 1.2155,                 1.1373,                 1.2901,               0.009406,               0.009406,               0.009406
