                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3941,                 1.5838,                 1.3373,                 0.7488,                0.78472,                0.79599,                0.54338,                 1.0409,                0.96326,                 1.1583,               0.066878,             3.3155e-05,             3.3155e-05
                      1,                 1.2854,                 1.1388,                 1.2673,                0.78347,                0.82184,                0.84277,                0.56106,                 1.1389,                0.81784,                 1.2186,               0.033578,             6.6159e-05,             6.6159e-05
                      2,                 1.2537,                 1.0473,                 1.2557,                0.81051,                0.84541,                0.84938,                0.59956,                 1.0327,                 0.7231,                 1.1638,             0.00027709,             9.8834e-05,             9.8834e-05
                      3,                 1.2116,                 1.0077,                 1.2529,                0.80775,                0.83517,                0.84974,                0.57902,                 1.0897,                0.74225,                  1.211,             9.8515e-05,             9.8515e-05,             9.8515e-05
                      4,                  1.184,                0.95825,                 1.2357,                0.83392,                0.81619,                0.85589,                0.60772,                 1.0374,                0.72485,                 1.1775,             9.8515e-05,             9.8515e-05,             9.8515e-05
                      5,                 1.1741,                0.94687,                 1.2256,                0.85317,                0.83516,                0.85619,                0.59611,                 1.0696,                0.70903,                 1.2137,              9.802e-05,              9.802e-05,              9.802e-05
                      6,                 1.1473,                0.89046,                 1.2094,                0.86041,                0.80425,                0.86838,                0.61744,                 1.0457,                0.67997,                 1.1958,             9.7525e-05,             9.7525e-05,             9.7525e-05
                      7,                 1.1349,                0.87934,                 1.2006,                0.81384,                0.84302,                 0.8565,                0.62125,                0.99175,                0.68425,                 1.1838,              9.703e-05,              9.703e-05,              9.703e-05
                      8,                 1.1176,                0.86965,                 1.1965,                0.84592,                0.83862,                0.85879,                0.60801,                 1.0574,                0.68135,                 1.2107,             9.6535e-05,             9.6535e-05,             9.6535e-05
                      9,                  1.094,                0.82709,                 1.1789,                  0.815,                 0.8615,                0.85681,                 0.6159,                0.99445,                0.66701,                 1.1921,              9.604e-05,              9.604e-05,              9.604e-05
