                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3829,                 1.8638,                 1.3301,                0.56984,                0.55264,                0.54948,                0.32989,                  1.387,                 2.0117,                 1.2552,               0.067409,             3.2624e-05,             3.2624e-05
                      1,                 1.2516,                 1.0977,                  1.235,                0.82386,                 0.7628,                0.81774,                0.56475,                 1.1016,                0.90299,                 1.1769,               0.034108,             6.5631e-05,             6.5631e-05
                      2,                 1.2038,                0.99478,                 1.2244,                0.80322,                0.84339,                0.83942,                0.60105,                 1.0577,                 0.7969,                 1.1479,             0.00080753,             9.8308e-05,             9.8308e-05
                      3,                 1.1675,                0.94414,                 1.2047,                0.82291,                0.82369,                0.85287,                0.60325,                 1.0664,                0.76612,                 1.1879,             9.8515e-05,             9.8515e-05,             9.8515e-05
                      4,                 1.1734,                0.91845,                 1.2154,                0.79177,                0.84814,                 0.8365,                0.59449,                 1.0679,                0.80681,                 1.1728,             9.8515e-05,             9.8515e-05,             9.8515e-05
                      5,                 1.1395,                0.89387,                 1.1904,                0.81071,                0.87368,                0.86331,                  0.607,                  1.088,                0.74486,                 1.1856,              9.802e-05,              9.802e-05,              9.802e-05
                      6,                 1.1298,                0.86129,                 1.1888,                 0.8579,                0.83847,                0.86511,                0.61467,                 1.0635,                0.72533,                 1.1945,             9.7525e-05,             9.7525e-05,             9.7525e-05
                      7,                 1.0977,                0.83414,                 1.1751,                0.82905,                0.85939,                0.85872,                0.62508,                 1.0494,                0.72722,                 1.1857,              9.703e-05,              9.703e-05,              9.703e-05
                      8,                 1.0858,                 0.8196,                 1.1749,                0.85754,                0.82078,                0.85767,                 0.5967,                 1.1208,                0.69747,                 1.2219,             9.6535e-05,             9.6535e-05,             9.6535e-05
                      9,                  1.068,                0.78781,                 1.1595,                0.83106,                0.85228,                0.86741,                0.63052,                 1.0619,                0.72209,                 1.2038,              9.604e-05,              9.604e-05,              9.604e-05
                     10,                 1.0742,                0.79236,                 1.1604,                0.81514,                0.87435,                0.87762,                0.61401,                 1.1169,                0.69569,                 1.2339,             9.5545e-05,             9.5545e-05,             9.5545e-05
                     11,                 1.0364,                0.76116,                 1.1472,                0.83554,                0.84507,                 0.8736,                0.61764,                 1.1195,                0.69189,                 1.2479,              9.505e-05,              9.505e-05,              9.505e-05
                     12,                 1.0426,                0.75942,                 1.1468,                0.83639,                  0.835,                0.86154,                0.63895,                 1.0328,                0.67418,                 1.1896,             9.4555e-05,             9.4555e-05,             9.4555e-05
                     13,                 1.0093,                 0.7204,                 1.1322,                0.81371,                0.83596,                0.86972,                0.62716,                 1.0901,                0.72126,                 1.2241,              9.406e-05,              9.406e-05,              9.406e-05
                     14,                 1.0169,                0.73029,                 1.1283,                 0.8174,                0.83957,                0.85196,                0.61884,                 1.0229,                0.75264,                 1.1941,             9.3565e-05,             9.3565e-05,             9.3565e-05
                     15,                  1.025,                0.73058,                 1.1355,                0.81616,                0.83625,                0.86402,                0.61183,                 1.0937,                0.73747,                  1.216,              9.307e-05,              9.307e-05,              9.307e-05
                     16,                 1.0101,                0.71647,                 1.1303,                0.85557,                0.82002,                0.86707,                0.63279,                 1.0678,                0.69134,                 1.2101,             9.2575e-05,             9.2575e-05,             9.2575e-05
                     17,                 0.9858,                0.70474,                 1.1276,                0.85443,                0.82358,                0.86328,                0.62029,                 1.0552,                0.69275,                 1.2269,              9.208e-05,              9.208e-05,              9.208e-05
                     18,                0.98845,                0.70696,                 1.1251,                0.83082,                0.85364,                0.87457,                0.63777,                 1.0487,                0.69821,                 1.2251,             9.1585e-05,             9.1585e-05,             9.1585e-05
                     19,                0.97308,                0.68612,                 1.1249,                0.80921,                0.86248,                 0.8684,                0.63467,                 1.0445,                 0.6946,                 1.2171,              9.109e-05,              9.109e-05,              9.109e-05
                     20,                0.97383,                 0.6818,                 1.1154,                0.82288,                0.85215,                0.86243,                0.63745,                 1.0437,                0.66421,                 1.2115,             9.0595e-05,             9.0595e-05,             9.0595e-05
                     21,                0.97429,                0.69019,                 1.1257,                0.86132,                0.83751,                0.88178,                0.64026,                  1.053,                0.67629,                 1.2268,               9.01e-05,               9.01e-05,               9.01e-05
                     22,                0.96871,                0.67795,                 1.1194,                0.86723,                0.85155,                0.88126,                0.63445,                 1.0627,                0.68187,                 1.2183,             8.9605e-05,             8.9605e-05,             8.9605e-05
                     23,                 0.9694,                0.67253,                 1.1125,                0.85324,                0.83586,                0.87008,                0.62884,                  1.055,                0.65962,                 1.2097,              8.911e-05,              8.911e-05,              8.911e-05
                     24,                0.95205,                0.65394,                 1.1062,                 0.8468,                0.80434,                0.85332,                0.62158,                 1.0808,                0.71626,                 1.2426,             8.8615e-05,             8.8615e-05,             8.8615e-05
                     25,                 0.9285,                0.64186,                 1.0937,                0.85109,                0.84609,                 0.8684,                0.62702,                 1.0732,                0.69701,                 1.2426,              8.812e-05,              8.812e-05,              8.812e-05
                     26,                0.93167,                0.63434,                 1.0889,                0.85953,                0.82749,                0.86333,                0.62463,                   1.08,                0.69215,                 1.2641,             8.7625e-05,             8.7625e-05,             8.7625e-05
                     27,                 0.9314,                0.64248,                 1.0983,                0.82867,                0.81619,                0.85855,                0.60749,                 1.0871,                 0.7184,                 1.2756,              8.713e-05,              8.713e-05,              8.713e-05
                     28,                0.91432,                0.62218,                 1.0848,                0.84382,                0.79679,                0.85557,                0.63296,                 1.0558,                0.71889,                 1.2424,             8.6635e-05,             8.6635e-05,             8.6635e-05
                     29,                0.92595,                0.63132,                 1.0903,                 0.8636,                0.79222,                0.84658,                0.61924,                 1.0488,                0.68241,                 1.2294,              8.614e-05,              8.614e-05,              8.614e-05
                     30,                0.90546,                0.62568,                  1.086,                0.86743,                0.81369,                0.85758,                0.63543,                 1.0486,                0.74703,                 1.2342,             8.5645e-05,             8.5645e-05,             8.5645e-05
                     31,                0.89892,                0.61542,                 1.0831,                0.87686,                0.84348,                0.88163,                0.63466,                  1.074,                0.68647,                 1.2457,              8.515e-05,              8.515e-05,              8.515e-05
