                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3734,                 1.6157,                 1.3347,                0.71029,                0.64435,                0.69937,                 0.4471,                 1.2049,                 1.5612,                 1.2653,               0.067054,             3.2979e-05,             3.2979e-05
                      1,                 1.2878,                 1.1131,                 1.2694,                0.79574,                0.81943,                0.84746,                0.58098,                 1.0966,                0.75348,                 1.2086,               0.033754,             6.5984e-05,             6.5984e-05
                      2,                 1.2166,                0.98556,                 1.2369,                0.80454,                0.83867,                0.85066,                0.60616,                 1.0365,                0.72918,                  1.183,             0.00045327,             9.8659e-05,             9.8659e-05
                      3,                 1.1924,                0.95506,                 1.2313,                0.84199,                0.82364,                0.84585,                0.57264,                 1.0881,                0.72241,                 1.2105,             9.8515e-05,             9.8515e-05,             9.8515e-05
                      4,                 1.1597,                0.91327,                 1.2147,                0.84587,                0.81255,                0.85871,                0.60739,                 1.0447,                0.71577,                 1.1893,             9.8515e-05,             9.8515e-05,             9.8515e-05
                      5,                 1.1582,                0.90082,                 1.2113,                0.86317,                0.84169,                0.87025,                0.62623,                 1.0217,                0.71723,                 1.1745,              9.802e-05,              9.802e-05,              9.802e-05
                      6,                 1.1139,                0.83805,                 1.1833,                0.83623,                0.86218,                0.86331,                0.60791,                 1.0589,                0.69592,                 1.1939,             9.7525e-05,             9.7525e-05,             9.7525e-05
                      7,                 1.1192,                0.83385,                 1.1889,                0.85208,                0.76972,                0.84044,                0.59113,                 1.0836,                0.75119,                 1.2294,              9.703e-05,              9.703e-05,              9.703e-05
                      8,                 1.0915,                 0.8323,                 1.1814,                0.85375,                0.83428,                0.86852,                0.62774,                 1.0195,                0.69624,                 1.1879,             9.6535e-05,             9.6535e-05,             9.6535e-05
                      9,                 1.0869,                0.80822,                 1.1739,                0.83144,                0.84489,                0.85649,                0.61025,                 1.0496,                0.69851,                 1.2107,              9.604e-05,              9.604e-05,              9.604e-05
                     10,                  1.074,                0.79512,                 1.1674,                0.83652,                0.86271,                0.87611,                0.63252,                 1.0138,                   0.68,                 1.1953,             9.5545e-05,             9.5545e-05,             9.5545e-05
                     11,                 1.0614,                0.79805,                 1.1618,                0.86197,                0.84003,                0.86074,                0.61569,                 1.0187,                 0.6863,                 1.2189,              9.505e-05,              9.505e-05,              9.505e-05
                     12,                 1.0486,                0.77867,                 1.1626,                0.83612,                0.84189,                0.85845,                0.60069,                 1.0763,                0.67841,                 1.2372,             9.4555e-05,             9.4555e-05,             9.4555e-05
                     13,                 1.0239,                0.74418,                 1.1523,                0.82858,                0.85415,                0.86062,                0.62676,                  1.005,                0.67544,                  1.187,              9.406e-05,              9.406e-05,              9.406e-05
                     14,                 1.0157,                0.72727,                 1.1335,                0.85788,                0.78829,                0.85391,                0.61757,                 1.0491,                0.66475,                 1.2258,             9.3565e-05,             9.3565e-05,             9.3565e-05
                     15,                 1.0222,                0.73072,                 1.1404,                0.84141,                0.84341,                0.86427,                0.61498,                 1.0767,                0.67174,                 1.2207,              9.307e-05,              9.307e-05,              9.307e-05
                     16,                 1.0169,                0.72656,                 1.1467,                0.84032,                0.86496,                0.87106,                0.62359,                 1.0193,                 0.6523,                 1.1986,             9.2575e-05,             9.2575e-05,             9.2575e-05
                     17,                0.99567,                0.70762,                  1.138,                0.86506,                0.80415,                0.86045,                0.62102,                 1.0196,                0.71385,                 1.2019,              9.208e-05,              9.208e-05,              9.208e-05
                     18,                0.99804,                0.71114,                 1.1382,                0.82923,                 0.8299,                0.84687,                0.61324,                 1.0251,                0.68253,                 1.2197,             9.1585e-05,             9.1585e-05,             9.1585e-05
                     19,                0.99059,                0.71408,                 1.1327,                0.81662,                0.82543,                0.83377,                0.59395,                 1.0498,                0.68002,                 1.2418,              9.109e-05,              9.109e-05,              9.109e-05
                     20,                0.97745,                0.69715,                 1.1268,                0.83261,                0.82381,                0.84976,                 0.6118,                 1.0332,                0.65088,                 1.2125,             9.0595e-05,             9.0595e-05,             9.0595e-05
                     21,                0.97916,                0.69432,                 1.1255,                0.83781,                0.81069,                0.83837,                0.61272,                 1.0272,                 0.6651,                 1.2257,               9.01e-05,               9.01e-05,               9.01e-05
                     22,                0.98028,                0.68398,                 1.1303,                0.85821,                0.80457,                0.85339,                0.62239,                 1.0153,                0.66539,                  1.212,             8.9605e-05,             8.9605e-05,             8.9605e-05
                     23,                0.97449,                0.68384,                 1.1176,                0.83543,                0.82635,                0.87471,                0.63666,                  1.019,                0.64492,                  1.207,              8.911e-05,              8.911e-05,              8.911e-05
                     24,                0.95629,                0.66992,                 1.1124,                0.84389,                0.84671,                0.87337,                0.63955,                 1.0078,                0.65493,                 1.2048,             8.8615e-05,             8.8615e-05,             8.8615e-05
                     25,                0.95638,                0.67656,                 1.1091,                0.84212,                0.85803,                 0.8739,                0.63703,                 1.0192,                0.64655,                 1.2033,              8.812e-05,              8.812e-05,              8.812e-05
                     26,                0.92584,                0.65416,                 1.0974,                0.84626,                0.81379,                0.85107,                0.62646,                 1.0106,                0.67935,                 1.2192,             8.7625e-05,             8.7625e-05,             8.7625e-05
                     27,                0.94576,                0.66245,                 1.1123,                0.82188,                0.84215,                0.85671,                0.62717,                0.98804,                 0.6792,                 1.1853,              8.713e-05,              8.713e-05,              8.713e-05
                     28,                 0.9314,                0.64124,                 1.0987,                0.80023,                0.84115,                0.85066,                0.62471,                  1.006,                0.68093,                  1.206,             8.6635e-05,             8.6635e-05,             8.6635e-05
                     29,                0.93757,                 0.6412,                 1.1003,                0.87369,                0.81029,                0.87646,                0.63268,                 1.0145,                0.66173,                 1.2116,              8.614e-05,              8.614e-05,              8.614e-05
