                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.093,                 3.7669,                 2.2546,                0.00224,                0.19087,                0.00344,                0.00087,                  3.062,                    inf,                 5.8454,               0.067409,             3.2624e-05,             3.2624e-05
                      1,                 1.8857,                  2.891,                 2.0138,                0.17349,                0.09831,                0.00674,                0.00157,                 3.0586,                    inf,                 4.0202,               0.034108,             6.5304e-05,             6.5304e-05
                      2,                 1.7893,                 2.6124,                 1.9407,                0.00736,                0.11861,                0.00462,                0.00128,                 3.3661,                    inf,                 4.9461,             0.00080654,             9.7325e-05,             9.7325e-05
                      3,                 1.6984,                 2.4382,                 1.8716,                 0.5702,                0.04053,                0.01421,                0.00369,                 3.5174,                 10.296,                 4.7693,              9.703e-05,              9.703e-05,              9.703e-05
                      4,                 1.6425,                 2.3002,                 1.8311,                0.34085,                0.03083,                0.02238,                0.01083,                 2.6735,                  6.139,                 3.1544,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                 1.5949,                 2.1822,                 1.7945,                0.08233,                0.26165,                0.08928,                0.03618,                 2.4472,                 9.5439,                 2.5355,              9.604e-05,              9.604e-05,              9.604e-05
                      6,                 1.5468,                 2.0801,                  1.745,                0.18443,                0.07862,                 0.0358,                0.02482,                 2.8481,                    inf,                 3.2384,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.5426,                 1.9879,                 1.7367,                0.33971,                0.10864,                 0.0426,                0.01732,                 2.4811,                 5.4492,                 2.8349,              9.406e-05,              9.406e-05,              9.406e-05
                      8,                 1.5047,                 1.9374,                 1.7128,                0.22026,                0.20141,                0.13229,                0.04956,                  2.961,                   6.11,                 3.0989,              9.307e-05,              9.307e-05,              9.307e-05
                      9,                 1.4712,                 1.8794,                 1.7042,                0.71962,                0.12136,                0.27717,                0.17412,                 2.1862,                 4.4433,                 2.2439,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                 1.4565,                 1.8008,                  1.675,                0.45157,                0.10533,                0.08658,                 0.0523,                  2.104,                 4.9547,                 2.4103,              9.109e-05,              9.109e-05,              9.109e-05
                     11,                 1.4397,                 1.7616,                 1.6633,                0.36547,                  0.117,                0.09339,                0.02709,                  2.678,                  4.951,                 3.0798,               9.01e-05,               9.01e-05,               9.01e-05
                     12,                 1.4347,                 1.7465,                 1.6596,                0.34666,                0.01924,                0.00576,                0.00174,                 3.0132,                 6.1125,                 3.8361,              8.911e-05,              8.911e-05,              8.911e-05
                     13,                 1.4102,                 1.7018,                 1.6485,                0.46909,                0.05818,                0.06366,                0.01881,                  2.929,                 4.5926,                 3.6601,              8.812e-05,              8.812e-05,              8.812e-05
                     14,                 1.4141,                 1.6908,                 1.6529,                0.46418,                0.20321,                0.17061,                 0.0826,                  2.325,                 3.6668,                 2.3975,              8.713e-05,              8.713e-05,              8.713e-05
                     15,                 1.3866,                 1.6672,                 1.6429,                0.50611,                 0.1407,                0.16378,                0.07684,                 2.1472,                 4.4099,                 2.5191,              8.614e-05,              8.614e-05,              8.614e-05
                     16,                 1.3781,                 1.6399,                 1.6327,                0.69252,                0.16683,                0.20315,                 0.1148,                 2.0798,                 4.6661,                 2.4143,              8.515e-05,              8.515e-05,              8.515e-05
                     17,                 1.3817,                 1.6263,                 1.6403,                0.43971,                0.09302,                0.11774,                0.07057,                 2.2362,                 5.5891,                 2.5985,              8.416e-05,              8.416e-05,              8.416e-05
                     18,                 1.3704,                 1.5816,                 1.6259,                0.16483,                0.15084,                0.09807,                0.03454,                 2.5569,                 3.5678,                 2.8115,              8.317e-05,              8.317e-05,              8.317e-05
