                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2229,                 2.9691,                 1.4842,                0.62349,                0.63548,                0.63602,                0.43539,                 1.0872,                 1.4644,                 1.3865,               0.070476,              0.0032804,              0.0032804
                      1,                  1.114,                 1.3129,                 1.3361,                0.66017,                0.68426,                0.68754,                0.47593,                 1.0843,                   1.28,                 1.3476,               0.040443,               0.006581,               0.006581
                      2,                 1.1354,                 1.2369,                 1.3232,                0.57665,                0.49563,                0.51557,                0.31244,                 1.3033,                 1.8389,                 1.5928,               0.010378,              0.0098486,              0.0098486
                      3,                 1.1639,                  1.271,                 1.3356,                0.67025,                 0.5064,                0.58141,                0.36662,                  1.336,                 1.7464,                 1.5666,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.1797,                 1.2605,                 1.3521,                0.69565,                0.59412,                 0.6509,                0.39808,                 1.3583,                 1.5804,                 1.6099,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1962,                 1.3004,                 1.3768,                0.65982,                0.59347,                0.61807,                0.38168,                 1.3557,                 1.4857,                 1.6718,               0.009802,               0.009802,               0.009802
                      6,                  1.206,                 1.2628,                 1.3871,                0.54081,                0.48076,                0.48112,                0.28797,                 1.4399,                 1.8412,                 1.7028,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1895,                 1.2822,                 1.3762,                  0.609,                0.64066,                0.63803,                0.39274,                 1.3451,                 1.5042,                 1.5964,               0.009703,               0.009703,               0.009703
                      8,                 1.2193,                 1.2559,                 1.3892,                0.71663,                0.65203,                0.68538,                0.42855,                 1.2903,                 1.2856,                 1.5548,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1989,                 1.2566,                 1.3986,                0.67119,                0.64821,                0.68629,                 0.4277,                  1.287,                  1.306,                 1.5668,               0.009604,               0.009604,               0.009604
                     10,                 1.1939,                 1.2395,                 1.3959,                0.69961,                0.57396,                0.62407,                0.40508,                 1.3002,                  1.407,                 1.5524,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1458,                 1.1606,                 1.3452,                0.70976,                0.64854,                0.70581,                0.45427,                 1.2741,                 1.2725,                 1.5216,               0.009505,               0.009505,               0.009505
                     12,                 1.1618,                 1.1439,                 1.3576,                0.69314,                0.67806,                0.68902,                0.44844,                 1.2489,                 1.2007,                 1.5276,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1401,                 1.1143,                 1.3407,                0.72575,                0.66503,                 0.7192,                0.45161,                 1.3143,                 1.2275,                 1.5444,               0.009406,               0.009406,               0.009406
                     14,                 1.1357,                  1.086,                 1.3214,                0.71022,                0.62363,                0.68898,                0.43932,                 1.3323,                 1.2745,                  1.568,              0.0093565,              0.0093565,              0.0093565
                     15,                   1.15,                  1.106,                 1.3517,                0.77637,                0.67905,                0.73123,                0.46871,                  1.269,                 1.2112,                 1.5299,               0.009307,               0.009307,               0.009307
                     16,                 1.1296,                 1.1152,                 1.3372,                0.71769,                0.69114,                0.71231,                0.45583,                  1.219,                 1.2081,                 1.4904,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1122,                 1.0744,                 1.3144,                0.77501,                0.73451,                0.75226,                0.51406,                 1.1764,                 1.0517,                  1.446,               0.009208,               0.009208,               0.009208
                     18,                 1.0786,                 1.0302,                 1.3091,                0.77779,                0.69248,                0.75816,                0.49958,                 1.2006,                 1.0893,                  1.475,              0.0091585,              0.0091585,              0.0091585
                     19,                  1.081,                 1.0211,                   1.31,                0.78135,                0.70481,                0.75169,                 0.5087,                 1.1844,                 1.0819,                 1.4749,               0.009109,               0.009109,               0.009109
                     20,                 1.1116,                 1.0321,                 1.3287,                0.77988,                0.69602,                0.75746,                 0.5132,                 1.2038,                 1.1323,                  1.457,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0868,                0.99356,                 1.3019,                 0.7794,                0.73551,                0.78124,                0.53449,                 1.1272,                 0.9984,                 1.3985,                0.00901,                0.00901,                0.00901
                     22,                 1.0661,                0.96497,                 1.2713,                0.74847,                 0.7387,                0.77427,                0.52451,                 1.1601,                 1.0045,                  1.431,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.0549,                 0.9351,                 1.2747,                0.78461,                0.69785,                0.76526,                0.50811,                 1.2242,                 1.0488,                 1.4479,               0.008911,               0.008911,               0.008911
                     24,                 1.0564,                 0.9494,                 1.2632,                0.76877,                0.70909,                0.77094,                0.52938,                 1.1695,                 1.0528,                  1.434,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0452,                0.93363,                 1.2853,                0.81739,                0.66597,                0.76149,                0.51638,                 1.1848,                 1.0729,                 1.4482,               0.008812,               0.008812,               0.008812
